	positive_relation	negative_relation
010_S_4345	265	385
041_S_1010	927	815
018_S_2180	726	928
014_S_0558	977	1224
068_S_2171	743	648
029_S_0914	813	534
033_S_0923	943	489
130_S_4660	703	779
014_S_0548	454	476
041_S_4004	1835	1387
129_S_2332	1155	622
137_S_4331	1132	688
027_S_0835	441	463
031_S_1066	1677	746
126_S_2405	707	673
128_S_4607	1470	1404
003_S_4136	770	930
013_S_1186	1598	988
052_S_4626	825	1150
012_S_4545	548	650
006_S_4150	655	666
007_S_1206	756	577
036_S_0673	1275	737
032_S_2247	805	1899
114_S_1106	1480	795
128_S_4609	1612	908
082_S_2307	1729	1494
027_S_2336	727	953
007_S_2106	1311	1181
033_S_0922	1626	1326
013_S_4268	1811	2191
007_S_4620	612	1090
014_S_2185	1013	1002
031_S_4476	541	489
123_S_4170	3310	3207
141_S_0767	1258	1513
941_S_4255	2406	1686
002_S_4213	1330	757
003_S_4354	801	1128
051_S_1331	831	635
014_S_4577	1466	906
130_S_0285	731	588
051_S_1123	1817	938
014_S_4080	4154	2407
099_S_4202	2081	973
099_S_2042	1509	1552
153_S_4297	239	210
094_S_4089	3317	1831
029_S_4290	391	941
005_S_4168	1360	899
072_S_4613	1433	982
033_S_4505	318	407
023_S_0625	1694	1303
123_S_0298	708	408
051_S_1072	1042	686
072_S_2116	2746	2302
070_S_4692	1225	800
013_S_2324	708	609
137_S_4596	564	861
109_S_4499	528	563
009_S_4612	572	1059
099_S_0291	2230	2800
023_S_0126	668	755
068_S_4340	829	1339
094_S_4434	640	787
023_S_4501	725	863
023_S_2068	386	825
116_S_4453	564	641
011_S_4366	1440	1160
082_S_2121	726	860
135_S_4281	1852	2522
135_S_4657	1090	1076
006_S_4346	1062	1633
012_S_4026	2129	2621
016_S_4591	826	978
036_S_2378	1478	1386
127_S_0925	433	763
006_S_4363	628	1208
114_S_0166	454	634
127_S_4198	306	393
029_S_0845	479	341
024_S_4280	457	761
007_S_4488	1537	877
067_S_2196	735	794
012_S_4128	896	650
002_S_4171	1855	1079
129_S_4371	377	682
073_S_4312	553	323
099_S_0352	618	314
021_S_4245	1026	599
005_S_4185	657	1266
003_S_0908	749	646
130_S_4250	609	421
052_S_1250	758	761
127_S_2234	658	474
035_S_4414	312	496
031_S_4474	890	1219
007_S_4516	335	277
130_S_2391	669	1142
027_S_1045	982	1074
137_S_0972	3038	2369
941_S_4376	538	564
006_S_4515	549	432
067_S_4054	405	567
036_S_1023	1058	1230
068_S_4061	2644	2600
098_S_0171	2327	1501
114_S_0378	829	892
098_S_4506	966	1040
127_S_4210	600	893
094_S_2216	681	647
127_S_4645	1408	813
037_S_0303	597	848
016_S_0359	1176	1378
033_S_4177	1414	630
127_S_2213	1064	1105
072_S_4103	862	578
003_S_4119	1364	1395
016_S_0702	778	563
116_S_4625	2733	2573
073_S_0746	1643	1047
067_S_2301	1928	1207
023_S_0042	629	705
072_S_4445	676	779
023_S_4020	2446	1790
032_S_4348	678	838
035_S_4256	339	718
082_S_1256	872	870
018_S_4257	187	204
021_S_4276	784	801
137_S_4351	923	1112
022_S_1351	2809	3419
099_S_4498	845	744
141_S_1255	1202	1151
098_S_4018	3538	2387
116_S_0834	774	1008
128_S_0272	1061	851
031_S_4032	1156	947
052_S_0671	965	1279
100_S_4469	623	691
127_S_1032	1060	712
036_S_2380	4175	2615
035_S_2199	435	410
032_S_0479	1583	962
128_S_2011	795	847
137_S_4672	379	699
024_S_4392	1279	910
010_S_0161	3156	2262
022_S_4320	620	747
005_S_0553	1404	879
068_S_2168	619	552
007_S_0068	668	495
002_S_4225	2720	2049
037_S_4030	1243	774
116_S_4635	2004	1375
033_S_4176	358	301
128_S_1406	2165	2961
072_S_2093	624	1055
072_S_4522	497	696
021_S_0337	1913	913
023_S_4502	577	816
072_S_4390	1070	588
021_S_4254	390	590
123_S_0072	949	601
011_S_4075	799	532
100_S_0035	1077	915
057_S_2398	2949	2735
018_S_4400	289	270
137_S_4299	3731	2110
002_S_4447	1947	904
021_S_0159	922	723
941_S_1202	1080	547
019_S_4293	1725	902
073_S_2225	965	1122
068_S_2194	1132	738
011_S_4222	975	975
023_S_0217	2217	1063
014_S_0519	1231	954
014_S_4328	2901	2551
009_S_4388	988	1130
023_S_4115	624	730
023_S_0031	1768	1190
073_S_4559	1203	1415
032_S_2119	1572	1568
127_S_4240	1480	1785
009_S_2208	635	824
022_S_4173	434	484
014_S_4576	4042	3632
002_S_4237	2044	2276
126_S_0680	1804	962
014_S_4093	1425	1058
073_S_4443	557	633
023_S_1046	1718	1179
137_S_0301	1219	930
068_S_0872	1384	945
002_S_1280	1619	1132
011_S_4547	1440	716
023_S_0058	654	866
009_S_4337	703	866
041_S_4143	2018	1262
099_S_4022	1817	1172
029_S_4384	731	316
114_S_1118	3508	2934
014_S_2308	1590	1058
128_S_2002	463	502
141_S_0717	948	737
005_S_4707	583	725
130_S_4294	325	752
116_S_4092	1372	1337
005_S_0610	1058	816
037_S_0150	192	631
073_S_4552	746	917
136_S_4433	322	493
032_S_2240	2143	3063
022_S_0130	1920	1111
128_S_0225	700	728
941_S_4292	1020	1989
098_S_4003	1180	603
072_S_2026	4575	3527
153_S_2148	1872	1641
007_S_4611	344	433
116_S_4010	570	557
099_S_2146	1576	1534
127_S_0260	1004	534
006_S_0731	1255	847
037_S_4146	2075	1955
067_S_2195	844	674
023_S_0887	709	570
072_S_2164	333	628
068_S_4274	443	674
033_S_1116	644	502
126_S_4514	559	783
037_S_0588	3594	2587
027_S_0307	4635	3617
123_S_0108	3398	2573
072_S_2037	1746	1173
128_S_4653	568	668
011_S_2274	969	814
073_S_4614	638	753
029_S_0824	634	526
068_S_2184	782	505
082_S_4090	957	1417
067_S_2304	921	1412
073_S_4393	2026	1887
053_S_0919	1492	1294
035_S_4114	592	573
037_S_1078	688	1093
002_S_4473	2484	1904
114_S_0173	1250	691
027_S_1387	904	840
011_S_0008	960	446
128_S_2123	911	1034
041_S_4629	2494	1384
006_S_4449	311	393
002_S_1155	645	592
130_S_4405	999	1671
007_S_4272	192	417
123_S_4127	526	351
023_S_0926	3013	2717
128_S_2151	937	1765
067_S_0059	705	521
136_S_0107	868	1547
027_S_0256	974	677
123_S_1300	1356	981
941_S_4036	1727	960
127_S_4500	1048	2030
072_S_4465	931	710
009_S_4564	321	491
141_S_0697	4322	3072
009_S_4543	663	637
941_S_4377	1502	2077
007_S_4387	328	538
141_S_4232	1947	1438
031_S_4021	1742	1910
127_S_4604	2215	2066
011_S_1282	1118	1112
011_S_4235	401	387
014_S_0563	1765	1092
153_S_4372	872	1169
029_S_4327	428	423
041_S_1425	2137	1138
032_S_0214	3696	2437
128_S_2045	1009	1416
010_S_0419	481	767
022_S_2087	1480	976
126_S_4686	888	787
041_S_1260	1215	2024
031_S_4005	1077	580
073_S_0311	1169	820
073_S_4311	566	375
023_S_4243	484	727
094_S_4234	847	654
022_S_4266	490	628
068_S_2316	2531	2111
003_S_4350	363	787
014_S_0169	1234	1119
128_S_0229	374	587
029_S_2376	2070	1223
021_S_2124	742	544
007_S_1222	864	717
035_S_4464	1513	1065
098_S_2079	612	506
032_S_4277	1772	1561
035_S_0292	675	743
068_S_4431	431	587
016_S_4121	2760	2152
003_S_4081	1818	1988
116_S_4199	758	1008
128_S_2003	1018	1133
130_S_4415	319	1130
073_S_4403	510	754
037_S_0566	1111	1221
005_S_2390	755	589
099_S_1034	934	1153
021_S_2125	545	348
023_S_4122	756	640
067_S_4212	771	951
072_S_4391	1044	914
082_S_4224	603	449
141_S_4160	1108	1331
003_S_0981	1002	837
021_S_4335	896	1427
027_S_2219	1121	689
116_S_0649	1106	613
128_S_0522	1296	1419
137_S_4482	873	648
128_S_4553	947	1465
013_S_4395	800	1085
016_S_2284	1223	1834
007_S_0128	2784	1766
109_S_2237	4101	3032
019_S_4252	1062	921
033_S_1016	1234	1444
126_S_4458	1014	638
072_S_2072	845	604
128_S_1408	521	755
109_S_2278	1387	1657
073_S_2190	1319	1019
003_S_4152	564	828
126_S_0605	2459	1333
116_S_1271	3768	2285
137_S_4211	580	386
033_S_4179	1480	1613
036_S_4430	634	513
006_S_0498	1028	1159
153_S_4077	3514	2110
082_S_2099	2337	1725
023_S_1190	323	501
126_S_4494	385	600
072_S_4007	1731	1037
011_S_1080	774	534
018_S_4349	1794	1002
035_S_2074	385	319
011_S_0002	611	809
130_S_4468	906	1120
123_S_2363	2641	2385
031_S_0867	660	582
032_S_4386	1494	996
033_S_0514	2330	1527
014_S_0557	549	751
123_S_2055	502	807
128_S_0230	374	602
099_S_4475	306	357
094_S_4162	1736	1787
052_S_0989	994	817
035_S_4582	1040	795
135_S_4446	537	801
018_S_2155	917	732
098_S_0160	1228	752
128_S_2220	1100	571
032_S_4429	777	819
035_S_2061	464	478
098_S_0269	560	601
009_S_4530	1536	887
099_S_2205	446	713
007_S_4568	633	909
033_S_4508	1483	1440
094_S_4560	934	1315
141_S_4438	3616	2708
013_S_2389	1371	1553
116_S_0382	414	460
016_S_4353	1261	1677
127_S_1427	809	537
052_S_1352	789	961
016_S_1326	1863	1586
007_S_2058	2134	1919
057_S_1007	1003	1162
068_S_2315	952	1072
153_S_4621	1210	1686
098_S_2047	1205	677
099_S_4086	1408	1166
037_S_4001	3442	2872
003_S_4373	432	1012
128_S_0135	414	662
041_S_0679	1017	1183
022_S_4291	650	702
082_S_4208	1883	1135
003_S_1074	475	542
128_S_0545	750	761
068_S_4424	991	1819
094_S_4503	923	686
051_S_1131	995	608
021_S_0276	546	429
127_S_0112	2046	897
002_S_4219	2207	1101
051_S_1040	754	853
031_S_4203	3305	3107
018_S_0142	710	657
082_S_4428	645	622
007_S_4637	2687	3440
100_S_0047	1178	1081
009_S_0842	886	521
041_S_4041	867	1176
082_S_4244	3603	2612
037_S_4302	389	305
127_S_4197	715	955
073_S_2264	688	357
023_S_4034	2862	2821
098_S_4095	1557	1538
009_S_1030	825	999
072_S_4394	570	560
002_S_4229	565	821
021_S_2150	1687	1094
116_S_4175	935	571
024_S_4169	1006	1271
123_S_4096	1123	807
012_S_4012	371	597
029_S_4307	663	440
002_S_4521	1377	1140
067_S_4184	1503	1666
023_S_4241	1547	1379
031_S_0294	1179	719
098_S_0172	465	452
032_S_1169	1164	677
029_S_0878	1661	1080
099_S_0051	1245	1316
002_S_0685	1964	1692
012_S_4643	1091	1406
027_S_0118	2653	1594
003_S_4288	1818	2371
136_S_4269	394	838
098_S_2052	2705	1594
037_S_4214	1130	2063
027_S_0120	570	544
041_S_4051	1472	1124
003_S_4441	749	682
114_S_4379	1215	799
116_S_0361	576	390
035_S_0997	844	1168
018_S_2138	1067	565
068_S_0210	453	412
031_S_2022	1625	924
037_S_0539	1541	1890
011_S_0021	1185	1895
003_S_1057	2351	2652
068_S_4067	3229	2123
031_S_4590	639	537
036_S_0813	2158	1459
126_S_4507	336	434
073_S_2191	1536	1066
130_S_4589	1239	1724
068_S_4217	570	1085
098_S_4215	1078	1079
109_S_4455	929	1140
137_S_4536	570	488
067_S_0056	880	941
100_S_1226	3028	2124
072_S_4226	472	339
014_S_4263	1021	645
021_S_4558	2310	1768
031_S_0830	676	437
094_S_2367	1533	751
009_S_4324	1602	937
013_S_4595	569	474
016_S_2031	1144	1242
137_S_0800	326	428
941_S_4420	326	414
109_S_4531	1028	620
116_S_4483	712	409
031_S_4218	1697	1364
100_S_0069	2724	1973
005_S_0602	868	1163
094_S_1417	1702	700
073_S_4216	1862	1835
012_S_0637	1791	2094
027_S_2245	1033	1311
141_S_1004	812	547
126_S_1187	693	734
128_S_1043	1245	1336
035_S_0555	691	726
123_S_0113	3249	2869
014_S_4058	692	455
135_S_4598	807	734
018_S_4597	708	557
023_S_4448	299	318
126_S_2407	621	632
131_S_0123	444	484
016_S_4584	1232	1319
002_S_0729	728	344
021_S_4419	973	1007
005_S_0572	861	549
027_S_0408	1028	910
116_S_0657	398	452
023_S_4035	623	941
941_S_1203	1929	1444
130_S_4352	769	513
033_S_0906	919	1061
073_S_0089	727	583
022_S_4196	2671	1465
136_S_4189	511	792
033_S_1098	849	815
018_S_0055	2540	2030
114_S_2392	1586	1520
116_S_1243	3041	1761
033_S_0920	896	648
068_S_2187	1341	794
021_S_4421	328	524
006_S_1130	1296	1118
052_S_0952	931	785
021_S_0626	2962	2006
002_S_2043	836	752
029_S_4385	331	388
037_S_4381	1050	1105
137_S_4520	1345	1271
029_S_0843	1147	1489
941_S_4100	1616	904
128_S_2036	638	573
153_S_2109	832	924
094_S_2238	570	932
014_S_0520	659	432
126_S_0709	683	651
135_S_4406	630	654
041_S_4060	1371	770
941_S_4187	1382	1298
099_S_4480	397	557
072_S_4462	1887	1114
031_S_2233	1605	1795
137_S_0722	1904	1258
127_S_4148	1059	1347
031_S_4029	595	543
018_S_4399	1038	920
052_S_2249	1881	1162
094_S_4282	999	704
072_S_4383	484	891
024_S_2239	438	424
024_S_4223	1048	690
029_S_2395	1295	1013
072_S_1380	2515	1600
137_S_4466	1025	1006
072_S_0315	1722	1250
011_S_0023	2099	1448
006_S_4546	408	404
141_S_2210	1069	1029
128_S_0863	630	613
130_S_4605	663	652
141_S_1378	486	864
057_S_0934	1076	850
116_S_0752	419	737
072_S_4131	1959	1197
116_S_4338	559	415
005_S_0448	1859	1326
027_S_0644	754	878
072_S_4206	1239	1158
032_S_0978	2531	1855
036_S_0672	825	549
068_S_2248	2257	1965
135_S_4676	3500	2713
131_S_0441	671	358
137_S_1414	855	636
098_S_0667	1046	934
072_S_4610	1207	1885
023_S_0331	797	658
114_S_0416	930	642
037_S_0501	1994	1585
016_S_4009	806	454
021_S_2100	530	1027
073_S_2153	3015	1663
031_S_0618	4765	2923
023_S_0061	3194	2192
116_S_4043	1750	1145
068_S_0802	929	763
135_S_4489	616	640
128_S_0770	478	884
130_S_0232	1878	1576
014_S_0658	968	756
037_S_4432	893	1805
127_S_4301	436	736
009_S_4359	353	1282
006_S_4357	371	581
003_S_0907	1097	937
031_S_4024	418	593
022_S_4444	1329	1639
041_S_4138	1208	738
137_S_4258	2011	2771
021_S_4402	671	825
012_S_1212	914	1090
005_S_0546	764	973
128_S_4603	1754	2014
072_S_2070	1522	1380
002_S_4251	980	1367
029_S_1318	1742	964
036_S_0945	1157	854
141_S_1052	641	1100
041_S_1418	1012	873
123_S_0106	450	1100
068_S_4332	649	1159
098_S_4201	1027	1110
002_S_0413	385	250
130_S_2403	520	928
027_S_0074	986	1126
014_S_4039	637	497
128_S_0138	1051	999
029_S_4279	992	740
941_S_4365	1408	957
109_S_4260	857	1013
041_S_4037	799	497
018_S_2133	647	583
037_S_4028	1702	1402
099_S_4104	2205	1721
053_S_4578	657	1286
020_S_1288	533	792
019_S_4367	551	696
131_S_0384	650	564
135_S_4309	1308	871
129_S_4369	704	923
137_S_0686	747	684
128_S_4571	1019	917
099_S_2063	1615	1629
011_S_4120	2300	1225
041_S_0125	2181	1329
053_S_2357	3158	2754
137_S_0973	4202	3405
021_S_0984	1851	958
027_S_0116	930	699
052_S_0951	508	470
014_S_4401	2206	2430
036_S_4562	682	1122
137_S_0459	976	1229
018_S_4696	1005	1375
023_S_4164	818	1183
128_S_2130	1297	985
082_S_4339	2198	1465
022_S_2379	938	776
014_S_4668	2282	1006
130_S_0289	1365	1965
141_S_4456	811	845
009_S_2381	1318	851
053_S_4557	826	469
073_S_4300	425	1065
041_S_4014	3115	2205
007_S_0101	1473	694
