	positive_relation	negative_relation
116_S_1249	1158	1969
037_S_4410	2209	2955
006_S_4153	783	467
116_S_1232	825	529
099_S_4205	611	1008
007_S_4467	588	726
128_S_0205	1993	2480
003_S_2374	566	872
036_S_4491	5002	3246
098_S_4059	537	624
031_S_2018	913	839
002_S_4654	845	1107
019_S_4285	659	496
141_S_4426	2589	2879
067_S_4072	893	1157
037_S_4308	864	992
041_S_4200	811	508
128_S_0200	1156	1542
129_S_4220	2666	2920
018_S_4313	2163	3153
067_S_0257	2617	1326
029_S_1218	436	511
141_S_4053	740	401
136_S_4408	1225	1221
021_S_2142	630	485
114_S_4404	451	575
116_S_4167	829	1246
116_S_4209	1151	1092
073_S_4360	711	509
072_S_4539	652	443
007_S_2394	1276	1866
128_S_1407	1430	2210
109_S_2200	2474	2452
057_S_1269	975	972
022_S_1097	700	912
010_S_0420	349	322
072_S_2083	741	607
014_S_4615	988	617
073_S_4259	639	1536
002_S_1268	1920	1292
024_S_0985	1077	887
073_S_4382	733	656
127_S_0684	598	1040
067_S_4310	1460	1099
035_S_0156	593	482
041_S_4427	1369	1399
127_S_0622	1448	1198
129_S_4396	516	611
019_S_4477	572	598
002_S_1261	2628	2705
041_S_4271	411	506
003_S_1122	2202	2531
941_S_2060	486	702
012_S_4094	767	416
129_S_4287	2202	1746
135_S_4356	1951	1916
136_S_0186	846	859
098_S_4050	576	672
073_S_4155	637	606
073_S_2182	1185	1324
013_S_4580	588	610
100_S_1286	4061	2730
072_S_2027	2207	1601
099_S_4463	934	1214
094_S_2201	1822	1217
099_S_4565	2452	1676
129_S_1246	1361	1525
016_S_4097	1632	865
023_S_0376	5219	3673
024_S_4084	2383	1825
031_S_4496	642	481
014_S_4079	3598	1754
072_S_4102	1223	1233
032_S_0677	986	869
002_S_4270	1003	884
127_S_0259	1338	1734
041_S_4510	143	265
037_S_0467	472	528
006_S_4192	1468	1857
137_S_0668	540	487
002_S_2073	997	983
123_S_4526	868	617
003_S_4555	662	902
010_S_4442	1293	576
035_S_4082	1170	1095
037_S_4015	400	606
128_S_4636	591	847
041_S_4513	1351	1422
098_S_4275	1065	1213
068_S_4174	749	1172
024_S_1063	597	807
068_S_0473	3030	1990
073_S_4540	501	364
